kind,external_id,role,label,address,lat,lon,precision,source,verification,verified_at
kindergarten,102,main,,"гр. Варна, ул.“Велчова завера“ № 12",43.209708,27.890355,building,manual,human,2026-09-15
kindergarten,103,main,,"гр. Варна, ул. ""Капитан Райчо Николов"" 103 А",43.215467,27.892919,building,manual,human,2026-09-15
kindergarten,34,branch,,"ул.""Жолио Кюри""№51,вх.Г,ет.1.ап.3",43.208075,27.904115,building,manual,human,2026-09-15
kindergarten,34,main,,"гр. Варна, ул.""Парижка комуна"" №25",43.205838,27.904386,building,manual,human,2026-09-15
kindergarten,35,branch,,"ул.""Батак""№6",43.203611,27.903855,building,manual,human,2026-09-15
kindergarten,35,branch,,"ул.""Батак""№8",43.203462,27.903011,building,manual,human,2026-09-15
kindergarten,35,main,,"гр. Варна, ул. ""Барутен погреб"" №6",43.204041,27.898212,building,manual,human,2026-09-15
kindergarten,36,main,,"гр. Варна, ул. ""Фредерик Жолио Кюри"" №14",43.210593,27.910475,building,osm_poi,auto,2026-09-15
kindergarten,37,branch,,"ул. ""Кап. Райчо""",43.202023,27.913023,building,manual,human,2026-09-15
kindergarten,37,main,,"гр. Варна, ул. ""Шейново"" №18",43.204536,27.914213,building,manual,human,2026-09-15
kindergarten,38,branch,,"ул. ""Патриарх Евтимий"" №52",43.213513,27.900271,building,manual,human,2026-09-15
kindergarten,38,branch,,"ул. ""Яне сандански"" №1",43.213714,27.904637,building,manual,human,2026-09-15
kindergarten,38,main,,"гр. Варна, ул. ""Юрий Венелин"" №5",43.213995,27.904122,building,osm_poi,auto,2026-09-15
kindergarten,39,main,,"гр. Варна, ул. ""Тодор Влайков"" №71",43.208360,27.889353,building,manual,human,2026-09-15
kindergarten,40,main,,"гр. Варна, ул.""Стефан Караджа"" №24",43.205604,27.921990,building,manual,human,2026-09-15
kindergarten,41,main,,"гр. Варна, ул. ""Средна гора"" №45",43.208638,27.897022,building,osm_poi,auto,2026-09-15
kindergarten,42,main,,"гр. Варна, кв. Чайка до бл. 61",43.216317,27.945517,building,osm_poi,auto,2026-09-15
kindergarten,43,main,,"гр. Варна, ул. ""Карамфил"" №13",43.222055,27.911227,building,manual,human,2026-09-15
kindergarten,44,main,,"гр. Варна, ул. ""Евлоги Георгиев"" до бл. 25",43.225227,27.919895,building,osm_poi,auto,2026-09-15
kindergarten,45,branch,,"""Добруджа""№1",43.217834,27.920528,building,manual,human,2026-09-15
kindergarten,45,main,,"гр. Варна, ул. ""Дойран"" №9",43.215966,27.914604,building,osm_poi,human,2026-09-15
kindergarten,46,branch,,"бул. Княз Борис I, 109",43.209885,27.928446,building,manual,human,2026-09-15
kindergarten,46,branch,,ул. Н. Михайловски 1А,43.209341,27.926574,building,manual,human,2026-09-15
kindergarten,46,branch,,ул. Тодор Икономов 36,43.210211,27.928085,building,manual,human,2026-09-15
kindergarten,46,branch,,"ул. Тодор Икономов, 26",43.209883,27.927021,building,manual,human,2026-09-15
kindergarten,46,main,,"гр. Варна, ул.""Никола Михайловски"" №6",43.209589,27.926883,building,osm_poi,auto,2026-09-15
kindergarten,47,main,,"гр. Варна, ул.""Дубровник"" №56",43.225410,27.925778,building,manual,human,2026-09-15
kindergarten,48,main,,"гр. Варна, ул.""В. Петлешков"" №33",43.222136,27.932451,building,osm_poi,auto,2026-09-15
kindergarten,49,main,,"гр. Варна, ул.""Уйлям Гладстон"" №5",43.218227,27.921423,building,osm_poi,auto,2026-09-15
kindergarten,50,branch,Другарче,,43.216930,27.923966,building,manual,human,2026-09-15
